k;N;Ca;P;Mg;class
269.69;118.80;83.12;1.69;98.73;Ruim
224.11;230.93;41.90;16.53;37.74;Bom
90.46;88.60;48.40;87.20;84.66;Ruim
377.86;8.61;104.82;58.56;93.01;Ruim
30.27;372.71;109.70;43.26;42.08;Ruim
126.03;90.94;56.63;36.98;19.15;Bom
186.16;351.46;168.34;73.25;43.82;Ruim
185.43;447.50;0.63;35.84;65.38;Ruim
69.26;164.80;186.50;54.85;53.89;Bom
296.64;483.77;176.58;82.36;24.89;Ruim
263.40;146.16;144.81;73.27;10.90;Ruim
337.65;338.26;126.65;0.20;75.23;Pessimo
368.34;8.87;155.15;22.85;33.95;Ruim
46.60;281.42;195.94;2.76;23.47;Ruim
118.49;425.69;124.02;27.96;69.87;Ruim
446.65;122.89;49.08;48.64;24.83;Bom
337.11;113.23;173.29;43.70;44.26;Ruim
481.24;161.16;198.53;47.20;94.22;Ruim
302.67;410.86;153.84;90.63;70.12;Pessimo
230.25;31.89;24.90;75.57;2.21;Ruim
240.06;89.73;116.77;50.07;44.47;Ruim
422.73;142.87;170.92;45.70;67.00;Bom
292.23;303.99;144.91;14.64;83.10;Pessimo
63.02;266.73;9.59;17.44;8.29;Ruim
261.22;73.31;195.18;78.77;76.13;Ruim
402.93;188.22;107.31;71.71;46.71;Ruim
280.55;478.27;110.57;49.53;40.54;Ruim
472.35;402.92;35.36;98.71;70.15;Ruim
267.12;9.56;39.71;75.75;41.23;Ruim
182.65;98.58;66.64;68.50;84.33;Bom
324.88;344.40;5.59;55.14;70.47;Ruim
171.73;488.98;14.96;87.75;97.39;Ruim
386.75;63.53;129.32;82.85;76.03;Ruim
358.22;240.27;78.91;78.81;46.53;Ruim
256.36;117.32;3.11;96.13;66.80;Ruim
377.81;326.03;188.14;72.20;16.66;Ruim
316.73;147.12;71.67;32.36;18.43;Bom
194.54;214.83;77.53;3.06;48.16;Bom
93.16;111.77;191.37;7.22;68.85;Ruim
117.11;38.07;13.62;38.43;81.13;Ruim
225.26;246.89;28.86;5.94;84.80;Ruim
44.01;295.66;172.24;43.35;44.99;Ruim
382.46;68.44;163.00;80.69;3.17;Ruim
132.01;302.34;38.90;95.18;64.68;Bom
83.99;29.14;59.39;18.31;72.23;Ruim
53.06;271.45;100.78;59.01;70.50;Ruim
123.82;125.43;33.17;26.36;28.06;Ideal
352.32;175.64;100.19;69.63;10.19;Ruim
361.56;452.41;191.86;27.92;68.86;Ruim
459.17;32.40;143.91;36.12;4.38;Ruim
64.80;89.74;145.82;61.10;57.98;Ruim
415.84;448.73;180.16;19.64;32.53;Ruim
459.82;134.06;190.55;83.54;67.85;Ruim
411.53;419.09;101.38;30.07;18.74;Ruim
390.89;104.95;195.53;76.48;19.23;Ruim
456.50;235.25;65.24;31.00;93.80;Bom
250.48;89.56;101.35;0.35;8.08;Ruim
57.49;81.87;118.00;7.08;75.72;Ruim
249.06;313.36;145.95;70.28;98.29;Pessimo
205.03;193.17;9.56;11.65;18.87;Ruim
498.75;311.33;133.85;91.90;69.87;Pessimo
93.41;170.52;27.36;84.75;38.07;Bom
283.12;482.71;100.70;74.43;33.59;Ruim
22.12;427.11;22.32;37.43;95.64;Ruim
453.20;444.23;35.56;94.38;66.97;Ruim
142.26;134.49;138.66;28.49;45.36;Bom
205.11;416.03;71.88;55.80;5.02;Bom
46.08;239.50;34.75;65.46;19.32;Ruim
90.47;442.77;171.01;47.12;54.64;Ruim
4.61;478.68;79.36;36.81;3.93;Ruim
377.35;145.47;198.07;1.74;30.98;Ruim
438.95;127.33;46.74;59.35;74.04;Bom
295.86;35.81;169.25;42.01;44.28;Ruim
306.71;90.37;39.29;33.75;9.36;Ruim
136.21;274.13;30.73;45.54;88.67;Bom
218.70;305.41;115.99;42.45;50.84;Ruim
409.83;163.13;135.65;1.86;23.20;Ruim
52.88;78.32;149.24;22.44;21.07;Ruim
27.99;153.00;89.27;79.52;88.29;Bom
462.95;41.13;158.70;90.35;99.39;Pessimo
329.28;190.96;102.61;39.89;93.49;Ruim
240.76;419.02;125.12;54.31;30.72;Ruim
184.57;197.08;120.76;71.92;90.36;Ruim
21.40;196.78;80.84;75.09;17.43;Ruim
463.95;0.01;3.99;3.30;18.19;Ruim
23.01;196.49;161.97;25.86;30.78;Ruim
184.13;47.08;34.66;0.12;75.46;Ruim
497.60;73.44;67.63;58.09;76.72;Ruim
456.65;456.93;78.86;95.83;39.12;Ruim
434.28;409.20;55.43;69.90;78.06;Ruim
284.78;50.41;134.91;26.27;99.44;Ruim
231.18;217.81;145.93;61.74;86.06;Ruim
122.88;448.03;33.75;87.81;90.66;Bom
249.16;319.25;131.34;64.43;46.56;Ruim
232.54;463.83;41.91;71.96;78.86;Ruim
18.98;84.89;186.55;87.70;65.21;Ruim
419.56;1.78;184.26;34.10;40.32;Ruim
346.96;154.65;11.91;38.83;25.22;Bom
412.33;383.24;173.90;87.46;93.29;Pessimo
379.81;134.89;122.10;99.73;57.23;Ruim
166.46;472.96;55.72;64.45;64.47;Bom
365.18;259.87;190.38;13.01;51.53;Ruim
490.22;442.54;53.89;86.32;10.72;Ruim
222.16;18.80;117.62;28.31;18.50;Ruim
484.11;265.01;77.79;29.15;38.73;Ruim
258.81;477.63;59.55;6.62;25.74;Ruim
343.59;259.71;115.20;73.80;85.42;Ruim
148.90;320.17;19.33;34.35;51.40;Bom
245.53;23.02;130.29;59.72;98.76;Ruim
224.40;164.53;34.10;99.24;75.56;Bom
437.64;29.18;47.96;50.81;80.01;Ruim
171.23;1.22;183.67;17.51;39.16;Bom
390.31;459.72;199.99;12.52;11.24;Pessimo
259.82;52.47;130.95;70.25;69.65;Pessimo
243.45;330.09;3.15;93.96;20.02;Ruim
459.57;28.10;169.02;98.24;80.70;Pessimo
380.12;394.31;163.07;72.07;64.02;Pessimo
27.43;136.31;10.48;31.99;76.70;Bom
303.17;258.96;110.95;16.70;88.11;Ruim
400.72;8.73;63.67;13.88;14.44;Ruim
323.25;257.63;121.65;6.24;56.32;Pessimo
82.92;6.01;25.75;35.04;44.65;Ruim
352.95;461.11;144.49;18.47;14.93;Ruim
495.31;350.65;82.20;15.47;74.18;Ruim
455.73;343.29;193.77;69.33;39.26;Ruim
243.85;191.16;139.40;25.85;16.06;Ruim
153.31;182.84;80.97;22.79;92.51;Bom
378.51;227.13;50.29;21.80;3.38;Ruim
497.71;206.00;104.99;16.02;14.15;Ruim
272.89;202.52;9.32;90.87;12.38;Ruim
354.09;437.70;111.03;56.84;27.59;Ruim
174.11;451.99;133.96;61.05;96.93;Ruim
304.53;464.71;34.69;70.12;40.50;Ruim
1.11;250.20;141.47;92.98;50.52;Ruim
25.83;86.67;198.47;57.96;57.78;Ruim
438.26;327.70;130.47;52.60;68.80;Ruim
295.86;361.57;181.49;82.24;32.52;Ruim
281.22;431.77;155.23;82.86;53.20;Ruim
173.41;264.90;196.59;33.11;40.30;Bom
163.26;466.06;159.86;43.13;75.46;Bom
320.70;218.26;110.21;23.76;4.07;Ruim
20.03;432.22;149.76;19.89;47.36;Ruim
245.12;251.80;92.16;18.16;72.62;Ruim
455.15;209.37;194.93;29.08;99.30;Ruim
230.04;51.98;79.90;83.64;16.45;Ruim
259.46;238.76;152.78;93.36;91.03;Ruim
310.85;351.31;7.24;10.58;44.95;Ruim
410.20;20.78;49.96;97.63;17.11;Ruim
97.57;392.67;76.54;42.67;67.30;Bom
379.72;161.15;186.41;43.48;86.06;Bom
341.55;179.48;13.73;78.84;4.97;Ruim
90.00;440.29;49.09;21.40;39.98;Ruim
261.81;8.20;44.68;16.67;8.76;Ruim
281.35;95.02;71.76;13.04;30.01;Bom
419.06;70.78;86.20;91.67;75.58;Ruim
430.67;176.39;126.64;6.22;52.16;Ruim
245.99;489.00;182.46;31.58;6.31;Ruim
379.69;376.26;67.13;59.04;69.12;Ruim
181.95;214.33;69.62;83.53;31.57;Bom
240.57;208.35;167.57;86.66;25.63;Ruim
146.81;115.11;189.20;70.27;68.97;Bom
328.63;237.61;165.04;1.34;63.37;Ruim
168.69;237.52;52.32;23.63;92.32;Bom
47.20;110.94;74.28;52.97;81.99;Ruim
433.14;143.41;87.33;27.61;25.25;Bom
487.72;256.89;61.93;39.47;44.87;Bom
138.07;89.86;159.17;14.20;92.32;Bom
138.32;78.67;113.64;91.58;39.62;Bom
152.80;2.07;92.43;69.80;59.01;Bom
482.43;486.47;30.63;57.31;4.55;Ruim
306.31;472.15;98.51;63.68;89.77;Ruim
437.04;433.21;96.16;90.51;3.55;Ruim
276.26;73.34;48.14;39.75;29.07;Bom
266.85;72.82;119.36;33.79;30.90;Bom
274.72;437.00;177.68;22.84;79.44;Ruim
379.58;20.63;98.42;32.09;35.15;Ruim
492.29;61.51;149.09;70.87;36.06;Ruim
376.97;34.18;166.12;80.63;16.57;Ruim
85.49;496.07;139.42;49.43;74.95;Ruim
108.86;466.57;15.26;87.69;70.38;Ruim
199.86;498.60;129.07;85.18;65.76;Ruim
327.95;6.80;109.83;82.98;28.34;Ruim
307.57;377.97;11.20;1.97;27.04;Ruim
465.94;316.22;0.42;84.47;66.99;Pessimo
29.86;54.76;45.64;11.64;71.76;Ruim
447.22;489.99;109.63;24.71;4.10;Ruim
90.38;290.68;12.15;5.44;39.28;Ruim
366.28;380.72;53.18;58.28;36.40;Ruim
334.83;63.74;57.99;55.73;7.91;Ruim
420.93;64.29;104.53;82.38;80.43;Ruim
66.50;251.90;64.10;88.05;24.67;Ruim
320.58;135.47;176.81;50.60;14.61;Ruim
493.94;121.59;45.56;83.84;21.79;Bom
382.61;169.65;190.78;89.90;58.51;Ruim
334.92;257.25;14.67;19.25;80.45;Ruim
313.16;59.98;145.88;28.03;86.28;Ruim
38.07;236.96;168.61;35.74;74.96;Ruim
376.34;343.68;21.05;52.66;37.07;Ruim
193.41;124.57;75.76;6.62;14.42;Bom
404.95;414.20;6.01;44.91;29.63;Ruim
239.25;285.58;14.33;62.83;69.05;Ruim
251.63;369.18;33.23;79.60;49.90;Ruim
261.86;239.91;142.76;24.75;57.21;Ruim
483.34;315.36;137.83;41.04;39.00;Ruim
26.53;497.33;89.88;94.64;66.31;Ruim
438.84;420.39;34.67;14.66;33.42;Ruim
436.27;384.08;102.69;73.08;56.24;Ruim
263.53;455.69;34.55;36.91;64.63;Ruim
62.95;274.36;154.12;56.51;9.66;Ruim
452.87;253.45;195.22;54.53;90.44;Ruim
182.10;382.86;36.56;1.18;50.47;Ruim
66.17;117.53;16.71;54.01;72.39;Ruim
417.21;38.61;167.99;99.81;99.54;Pessimo
180.09;498.27;3.97;43.34;18.08;Bom
334.34;485.13;12.51;6.98;25.92;Ruim
180.27;277.84;104.23;42.17;21.59;Bom
163.64;43.87;93.93;87.05;17.01;Bom
474.22;466.27;0.31;54.81;64.96;Ruim
127.52;395.58;191.64;17.24;17.09;Bom
400.75;253.60;86.61;52.26;74.74;Ruim
233.41;395.10;34.63;18.80;84.65;Ruim
424.57;27.34;171.10;70.52;15.04;Ruim
73.47;386.77;53.53;43.12;96.60;Ruim
233.00;266.12;15.31;64.93;46.24;Ruim
400.34;498.90;25.32;75.98;27.31;Ruim
393.70;323.51;131.69;80.32;37.71;Ruim
224.44;303.56;70.22;18.15;34.46;Bom
283.18;158.02;114.46;14.20;90.28;Ruim
311.74;210.97;162.21;58.14;33.20;Ruim
5.65;187.35;29.60;51.33;72.15;Ruim
244.99;127.84;39.66;57.03;89.38;Bom
235.39;225.47;71.68;95.98;81.43;Bom
17.31;187.77;197.10;10.40;8.86;Ruim
262.90;319.73;9.95;45.09;25.34;Ruim
6.01;57.54;155.20;72.52;71.19;Pessimo
240.02;57.22;98.51;4.12;18.46;Ruim
416.65;165.33;82.53;94.97;88.35;Bom
460.77;56.55;104.85;58.13;71.73;Ruim
143.42;307.62;60.19;42.67;96.96;Bom
115.97;495.71;52.49;19.83;11.32;Ruim
21.33;134.56;39.98;48.68;7.14;Bom
380.70;108.03;148.47;71.00;81.22;Ruim
464.06;250.66;35.07;54.80;45.73;Ruim
9.86;178.62;130.18;74.83;41.41;Ruim
286.20;144.49;134.40;28.36;91.87;Ruim
113.62;132.63;57.70;33.74;22.42;Bom
79.29;428.74;86.92;76.79;30.17;Bom
361.98;319.57;173.71;16.32;93.32;Ruim
377.23;79.12;42.77;58.54;47.11;Ruim
357.46;224.63;39.17;18.64;39.69;Ruim
122.48;232.99;34.95;27.56;3.45;Bom
498.97;336.99;154.54;23.12;10.26;Ruim
9.14;220.42;174.32;95.29;49.09;Ruim
263.07;118.53;156.92;56.04;81.03;Ruim
236.84;463.86;61.61;49.80;87.38;Bom
26.13;401.68;159.72;57.47;56.50;Ruim
451.97;349.37;40.96;73.51;69.04;Ruim
190.87;446.70;18.33;16.43;6.45;Ruim
424.71;273.78;166.11;7.77;50.28;Ruim
232.76;50.66;9.26;92.67;11.70;Ruim
130.45;333.93;53.09;53.94;44.80;Bom
158.05;473.18;64.12;88.26;23.75;Bom
396.04;143.20;90.61;90.98;5.76;Bom
91.79;198.48;86.21;76.24;62.40;Bom
262.44;305.19;159.63;13.11;7.87;Pessimo
338.59;179.29;98.67;26.65;72.82;Bom
233.50;193.74;184.87;81.74;51.93;Ruim
216.10;313.07;169.96;65.29;48.75;Ruim
1.59;368.45;140.83;96.73;91.03;Pessimo
37.71;391.54;50.86;39.67;96.96;Ruim
458.05;263.81;59.25;36.61;85.27;Ruim
181.00;249.80;70.17;95.47;7.69;Ruim
275.36;385.08;51.06;25.62;57.63;Ruim
275.95;31.52;42.54;94.18;28.07;Ruim
299.73;288.91;26.17;41.08;68.37;Ruim
274.50;295.91;101.69;54.73;95.83;Ruim
289.64;174.53;57.59;64.98;24.14;Bom
226.08;124.05;141.73;41.00;63.36;Bom
226.90;240.47;98.16;81.86;6.97;Ruim
86.11;195.55;117.09;52.71;31.82;Bom
476.34;432.14;108.03;44.09;0.43;Ruim
419.10;86.52;9.81;94.28;23.70;Ruim
329.79;68.58;98.24;12.96;39.66;Ruim
51.83;251.27;183.12;1.01;1.04;Pessimo
434.26;129.53;55.11;43.98;55.86;Bom
140.21;171.40;180.42;16.65;87.31;Bom
284.05;279.19;139.99;52.01;82.78;Ruim
471.96;23.79;60.40;55.85;83.41;Ruim
377.76;213.00;5.18;68.44;88.82;Ruim
483.31;36.69;142.64;56.49;35.28;Ruim
6.23;209.81;90.09;19.81;89.63;Ruim
487.82;101.04;126.49;47.46;88.11;Ruim
93.99;192.96;80.69;87.83;72.52;Bom
477.78;211.77;34.46;22.61;15.88;Ruim
490.33;114.49;174.35;46.60;25.47;Ruim
248.28;15.64;43.60;3.92;64.16;Ruim
180.29;156.97;106.12;54.46;23.95;Ideal
16.05;229.40;115.75;13.94;28.78;Ruim
81.11;142.24;198.56;84.96;10.08;Bom
271.30;274.44;127.38;43.13;39.46;Ruim
37.89;437.33;161.83;34.16;76.51;Ruim
470.65;439.11;76.30;4.87;18.23;Ruim
20.84;91.67;14.98;95.27;58.54;Ruim
117.82;200.23;24.67;3.81;1.67;Ruim
54.32;390.51;89.74;86.29;78.38;Ruim
40.98;466.25;163.69;42.91;98.13;Ruim
203.15;246.25;51.21;20.72;20.10;Ruim
268.32;213.23;161.94;53.58;38.44;Ruim
285.63;21.51;5.26;53.23;17.49;Ruim
218.35;302.24;119.75;71.43;4.21;Ruim
406.61;333.95;104.17;30.86;4.27;Ruim
182.64;404.38;7.71;76.37;76.34;Ruim
466.08;368.71;79.38;37.56;76.72;Ruim
434.53;317.89;185.27;4.71;39.41;Ruim
331.54;342.11;109.84;58.22;92.48;Ruim
376.40;70.97;159.19;8.59;12.79;Ruim
246.69;434.61;185.44;75.93;63.55;Pessimo
411.91;61.07;112.42;58.73;12.17;Ruim
284.67;134.80;114.32;11.26;5.53;Ruim
211.19;107.70;66.09;14.71;27.78;Bom
75.72;100.74;115.37;1.85;28.90;Ruim
414.59;237.32;181.61;74.40;26.81;Ruim
111.91;185.47;125.95;34.54;89.67;Ruim
260.56;295.13;158.32;44.04;63.12;Ruim
133.40;422.39;115.59;29.74;20.25;Bom
243.30;397.92;27.54;49.29;69.36;Ruim
119.46;33.64;5.70;48.00;11.73;Ruim
188.52;131.93;157.71;28.24;55.90;Bom
388.07;74.89;6.59;64.46;56.14;Ruim
208.31;479.92;86.29;78.52;16.46;Ruim
161.45;450.56;197.24;21.95;3.17;Bom
55.92;376.18;53.09;70.90;69.90;Ruim
22.53;213.03;32.65;44.41;16.50;Ruim
8.75;121.73;3.84;54.66;80.26;Ruim
65.63;210.47;155.59;22.72;3.44;Ruim
345.25;223.28;89.03;74.05;13.98;Ruim
432.90;233.18;166.71;9.93;75.50;Ruim
486.93;107.35;190.43;9.75;12.24;Ruim
128.46;176.36;61.67;62.40;43.16;Ideal
94.17;254.32;170.65;38.55;46.88;Ruim
479.80;20.85;145.39;46.91;67.26;Ruim
105.94;474.65;66.63;75.85;67.24;Ruim
85.51;198.91;178.83;87.37;96.99;Ruim
252.35;230.80;153.79;45.24;19.03;Ruim
258.66;357.75;25.29;34.24;68.38;Ruim
456.13;470.40;71.05;25.38;57.19;Ruim
28.10;289.35;130.11;84.46;13.73;Ruim
384.91;328.26;186.60;77.09;91.01;Pessimo
195.01;437.17;60.15;43.15;47.18;Ruim
248.34;388.51;171.28;8.13;32.28;Ruim
127.87;111.25;28.76;96.17;66.54;Bom
172.09;270.00;16.94;93.07;29.40;Bom
425.28;156.32;17.78;45.73;71.66;Bom
231.65;457.14;82.34;38.61;46.31;Bom
386.96;390.69;176.54;37.97;66.53;Ruim
102.80;123.64;129.41;97.43;84.07;Bom
475.76;340.80;132.01;46.97;55.17;Ruim
44.54;183.56;31.69;99.99;10.10;Ruim
139.95;175.58;17.49;20.10;36.13;Ideal
443.33;197.59;193.60;24.84;56.27;Ruim
122.41;320.08;26.62;44.81;56.10;Bom
200.56;25.33;177.25;66.69;45.74;Ruim
378.82;489.87;185.04;93.87;37.06;Ruim
451.02;456.18;32.12;93.44;41.94;Ruim
11.54;177.55;6.96;38.68;33.83;Bom
208.74;409.41;79.56;93.47;26.42;Bom
189.83;71.53;90.16;51.52;31.49;Bom
287.07;469.47;193.36;44.40;57.47;Ruim
466.58;249.29;64.44;80.96;75.22;Ruim
415.72;229.38;182.12;37.96;61.93;Ruim
17.04;477.70;99.20;76.56;48.72;Ruim
282.12;233.99;190.75;79.88;76.59;Ruim
60.24;51.98;61.96;53.60;88.50;Ruim
400.30;65.10;199.31;62.74;73.50;Ruim
442.38;410.52;155.29;69.32;11.63;Pessimo
99.96;174.41;1.18;45.34;85.50;Bom
444.68;136.56;38.32;14.50;26.30;Bom
249.79;45.42;27.01;43.98;57.45;Ruim
214.43;390.14;45.37;23.09;6.85;Ruim
407.17;201.42;48.41;96.67;9.55;Ruim
264.11;268.98;14.91;90.11;30.26;Ruim
270.97;470.93;113.83;32.10;96.66;Ruim
186.88;158.10;77.90;30.06;30.91;Ideal
118.25;14.77;16.93;1.87;12.40;Ruim
73.50;155.67;40.33;61.87;15.55;Bom
172.05;50.16;158.20;60.63;88.09;Bom
429.51;99.29;132.82;45.18;48.05;Ruim
297.06;107.17;194.93;60.96;85.44;Ruim
5.14;47.80;83.81;68.40;95.67;Ruim
121.18;417.45;2.96;86.50;87.16;Ruim
47.01;55.71;90.48;52.76;80.24;Ruim
354.65;439.35;130.64;99.76;48.77;Ruim
304.06;116.08;142.99;7.14;66.89;Ruim
315.00;328.13;37.77;44.29;77.57;Ruim
269.09;365.09;137.98;95.81;95.05;Pessimo
14.41;159.39;0.01;76.91;50.74;Ruim
73.22;110.13;156.27;61.94;3.22;Ruim
380.92;100.74;125.74;51.84;10.96;Ruim
344.63;355.45;37.41;40.93;44.32;Ruim
266.14;291.32;184.82;10.29;63.82;Pessimo
283.34;436.75;116.78;20.54;69.99;Ruim
4.25;36.46;10.98;5.67;4.71;Pessimo
178.04;496.08;11.97;47.84;47.19;Bom
298.95;438.06;29.11;67.46;9.03;Pessimo
342.99;403.28;142.04;24.57;50.68;Ruim
132.08;28.21;72.16;37.41;4.04;Bom
150.57;321.72;198.95;90.49;24.99;Bom
308.11;338.24;59.82;73.82;59.31;Ruim
426.61;307.02;44.80;88.04;38.47;Ruim
135.36;328.54;74.52;26.65;21.96;Bom
484.35;285.77;9.29;92.34;7.07;Pessimo
298.02;166.98;87.13;43.28;92.79;Bom
9.70;348.52;67.77;76.47;51.95;Ruim
140.84;204.43;78.25;54.14;30.68;Ideal
318.45;133.95;39.36;50.89;53.08;Bom
168.78;157.82;30.50;17.68;0.71;Bom
450.92;219.73;27.43;51.38;4.51;Ruim
124.63;19.90;38.12;98.09;40.24;Bom
191.77;304.63;60.51;16.56;44.54;Ruim
413.21;416.73;179.28;25.26;53.42;Ruim
149.87;256.03;3.48;8.77;28.37;Bom
181.54;332.13;180.85;7.92;10.45;Ruim
236.47;239.08;84.26;70.21;39.82;Bom
364.65;139.08;3.57;11.38;71.49;Ruim
9.16;43.97;146.51;78.82;26.99;Ruim
399.92;37.14;104.23;12.08;52.05;Ruim
228.77;15.26;106.43;54.47;78.97;Ruim
335.46;251.98;1.74;26.10;85.28;Ruim
262.58;167.91;172.25;39.06;30.66;Bom
355.68;408.72;58.44;35.89;2.55;Ruim
210.09;274.53;135.52;59.19;97.36;Ruim
333.86;367.08;115.86;89.52;67.17;Ruim
135.91;119.76;162.99;74.43;50.03;Bom
16.81;349.40;143.18;72.19;88.36;Pessimo
488.60;467.60;82.40;46.37;71.35;Ruim
487.82;319.48;134.14;30.05;80.39;Ruim
36.42;288.98;4.04;31.11;28.81;Ruim
319.96;13.83;170.57;61.39;63.14;Pessimo
162.72;277.28;15.99;8.68;55.85;Bom
90.25;166.93;190.66;33.89;35.15;Bom
323.88;4.85;63.41;74.70;94.53;Ruim
497.30;35.92;69.57;76.25;81.01;Ruim
229.71;119.08;156.15;66.63;21.75;Ruim
10.90;332.74;185.71;49.67;87.21;Ruim
205.48;33.55;80.00;18.41;82.39;Bom
399.13;168.35;3.37;30.33;67.71;Ruim
333.05;13.21;75.16;13.97;99.94;Ruim
224.75;205.47;104.59;50.03;63.60;Ruim
254.49;111.22;34.07;42.18;15.05;Ruim
311.38;135.22;35.39;66.39;73.40;Ruim
333.31;77.79;94.50;83.44;27.40;Ruim
413.26;158.53;141.29;79.52;59.51;Ruim
461.79;376.98;107.80;56.83;12.65;Ruim
291.16;333.97;177.93;38.80;34.98;Ruim
60.95;342.15;44.89;21.74;53.36;Ruim
300.58;279.40;41.92;19.08;4.01;Ruim
439.99;81.73;137.32;95.42;49.10;Ruim
212.54;495.96;81.51;72.96;23.10;Ruim
251.54;413.23;150.45;1.50;76.23;Pessimo
400.96;155.85;69.85;19.61;12.27;Bom
311.76;161.19;154.70;53.05;74.70;Ruim
381.65;355.61;171.95;23.41;40.33;Ruim
20.19;1.58;141.68;73.82;82.36;Pessimo
377.63;310.89;42.10;37.68;37.15;Ruim
247.47;223.04;74.11;37.15;11.97;Bom
210.62;280.82;64.42;42.14;73.96;Bom
378.45;83.00;109.67;93.59;36.73;Ruim
75.69;35.06;40.32;37.38;61.15;Ruim
240.20;136.08;45.90;89.55;61.31;Bom
31.54;484.16;121.64;26.93;65.97;Ruim
55.50;120.34;19.11;94.94;99.44;Ruim
242.36;141.76;15.87;24.57;82.08;Ruim
127.14;4.52;109.97;67.94;63.01;Bom
461.93;172.97;149.30;24.13;30.85;Bom
142.09;477.07;180.24;27.58;27.81;Bom
393.10;228.13;25.17;0.14;42.86;Ruim
196.90;382.67;150.46;48.30;3.35;Ruim
35.31;134.75;120.00;74.93;66.82;Ruim
459.56;435.40;30.30;31.82;93.01;Ruim
34.94;464.30;146.56;33.60;94.44;Ruim
114.51;356.72;65.11;46.37;98.84;Bom
290.52;250.23;130.41;35.14;19.60;Ruim
3.92;237.25;155.80;42.21;5.47;Ruim
421.08;345.83;174.62;9.98;81.70;Pessimo
426.35;390.85;99.81;92.09;20.76;Ruim
49.36;286.78;137.91;23.23;18.16;Ruim
102.67;442.74;6.85;52.09;43.63;Ruim
397.23;214.43;115.88;85.27;59.52;Ruim
148.90;298.63;190.23;31.97;17.40;Bom
304.34;20.65;162.34;3.67;19.89;Ruim
426.78;279.72;154.90;47.15;53.17;Ruim
455.80;422.73;192.56;88.03;84.10;Pessimo
389.81;386.09;188.37;48.74;88.23;Ruim
87.79;39.91;132.93;93.14;61.40;Ruim
95.13;425.05;135.59;55.32;62.76;Ruim
297.67;348.02;126.93;37.69;40.87;Ruim
18.98;204.74;59.73;60.05;23.70;Ruim
347.90;380.93;116.84;89.07;72.55;Ruim
238.77;169.64;51.52;89.16;25.70;Bom
391.39;422.56;162.20;40.72;6.25;Ruim
273.98;398.10;8.32;8.34;62.81;Pessimo
119.15;144.70;59.34;89.91;89.70;Bom
253.08;101.01;8.49;96.35;99.10;Ruim
392.68;335.36;118.58;69.54;68.30;Ruim
66.61;4.75;108.38;1.78;94.37;Ruim
164.39;381.18;27.10;57.57;43.40;Bom
395.98;407.88;169.56;47.37;29.99;Ruim
237.80;192.84;133.79;69.42;10.99;Ruim
195.66;292.97;195.96;14.33;29.74;Ruim
441.55;20.62;45.72;83.90;62.43;Ruim
490.94;274.96;148.55;91.21;96.93;Pessimo
5.31;112.73;137.76;81.43;5.01;Ruim
89.74;321.93;140.50;52.47;97.98;Ruim
57.60;14.95;43.16;40.63;62.26;Ruim
440.65;322.82;25.07;80.20;97.61;Pessimo
453.03;7.95;33.63;79.60;32.04;Ruim
490.36;262.07;181.38;45.31;96.70;Ruim
385.11;318.14;102.78;67.64;28.22;Ruim
65.36;45.13;69.04;51.12;21.34;Bom
158.36;244.13;145.47;8.15;40.95;Bom
371.38;402.05;103.96;43.16;37.82;Ruim
486.12;401.97;116.40;78.80;14.02;Ruim
192.75;365.21;118.94;26.33;75.75;Ruim
151.42;359.31;24.99;27.89;95.66;Bom
100.52;5.74;137.24;90.58;73.85;Ruim
28.02;127.29;27.65;41.42;48.34;Bom
459.17;414.67;115.38;4.89;40.40;Ruim
141.38;2.89;102.03;30.05;35.39;Bom
64.06;350.96;95.52;71.37;96.17;Ruim
422.31;372.35;66.00;69.63;3.99;Ruim
220.97;361.20;58.63;57.94;17.02;Ruim
233.98;443.26;163.60;6.26;75.52;Ruim
268.99;301.46;26.55;7.22;72.21;Pessimo
205.98;383.66;195.64;84.22;5.73;Ruim
279.93;302.16;108.87;13.19;29.27;Ruim
104.72;421.30;49.29;36.52;28.34;Bom
406.70;162.11;151.04;21.34;86.02;Ruim
225.98;30.48;56.19;63.54;28.93;Ruim
219.28;395.56;148.04;37.19;50.31;Ruim
336.37;141.75;101.87;40.95;25.60;Bom
434.32;218.68;12.70;0.92;75.30;Ruim
11.14;83.84;35.10;96.17;75.56;Ruim
115.84;340.02;119.11;22.00;70.57;Ruim
301.58;204.70;175.59;66.45;8.10;Ruim
361.08;207.50;77.91;51.98;89.54;Ruim
156.56;64.95;19.76;91.64;28.47;Bom
219.74;340.38;45.54;88.44;30.21;Ruim
63.51;377.27;60.19;53.09;20.23;Ruim
48.15;169.13;70.85;39.28;95.15;Bom
172.73;57.31;124.83;3.38;12.44;Ruim
233.56;146.60;192.79;38.55;19.67;Bom
267.73;106.29;146.54;41.53;46.83;Ruim
206.65;230.92;185.12;13.54;15.29;Ruim
426.06;173.37;79.03;84.45;84.69;Bom
352.20;194.10;61.49;76.19;10.27;Ruim
148.73;390.89;133.11;67.87;34.36;Bom
457.25;61.47;34.52;33.02;24.33;Ruim
277.65;373.15;12.90;39.09;47.02;Ruim
433.01;407.76;121.41;89.92;41.02;Ruim
206.61;389.47;59.73;64.98;28.69;Ruim
17.11;302.79;194.52;86.84;23.78;Ruim
482.31;357.27;92.90;30.32;34.44;Ruim
